sim_nr,wall_setup,elapsed_s,total_exited,avg_flow_ps,frames,avg_fps
1,wallie2,70.67,100,1.41,1373,19.43
2,wallie2,97.23,100,1.03,1356,13.95
3,wallie2,395.78,1000,2.53,1677,4.24
4,wallie2,513.8,1000,1.95,1653,3.22
5,wallie2,145.08,1000,6.89,1657,11.42
6,wallie2,192.52,1000,5.19,2074,10.77
7,wallie2,193.05,1000,5.18,2073,10.74
8,wallie2,213.47,1000,4.68,2403,11.26
9,wallie2,213.1,1000,4.69,2391,11.22
10,wallie2,680.65,1000,1.47,2636,3.87
11,wallie2,260.91,1000,3.83,2933,11.24
12,wallie2,262.55,1000,3.81,2935,11.18
11,wallie2,692.41,1000,1.44,2993,4.32
12,wallie2,512.06,1000,1.95,2455,4.79
13,wallie2,518.24,1000,1.93,2479,4.78
14,wallie2,550.79,1000,1.82,2485,4.51
15,wallie2,554.46,1000,1.8,2492,4.49
16,wallie2,496.96,1000,2.01,2489,5.01
19,wallie2,236.65,1000,4.23,2482,10.49
20,wallie2,236.49,1000,4.23,2475,10.47
21,wallie2,239.15,1000,4.18,2471,10.33
