sim_nr,wall_setup,elapsed_s,total_exited,avg_flow_ps,frames,avg_fps,particles,bollard_type
1,wallie1,284.21,1000,3.52,3213,11.31,1000,centered
2,wallie1,343.59,1500,4.37,3002,8.74,1500,void
3,wallie1,348.32,1500,4.31,2996,8.6,1500,void
4,wallie1,339.62,1500,4.42,2991,8.81,1500,void
5,wallie1,337.35,1500,4.45,2984,8.85,1500,void
6,wallie1,339.59,1500,4.42,2994,8.82,1500,void
7,wallie2,335.15,1500,4.48,3055,9.12,1500,void
8,wallie2,336.26,1500,4.46,3059,9.1,1500,void
9,wallie2,336.14,1500,4.46,3060,9.1,1500,void
10,wallie2,335.68,1500,4.47,3057,9.11,1500,void
11,wallie2,326.35,1500,4.6,3052,9.35,1500,void
12,wallie3,343.11,1500,4.37,3166,9.23,1500,void
13,wallie3,341.18,1500,4.4,3157,9.25,1500,void
14,wallie3,342.27,1500,4.38,3154,9.22,1500,void
15,wallie3,342.2,1500,4.38,3175,9.28,1500,void
16,wallie3,341.01,1500,4.4,3156,9.25,1500,void
17,wallie1,362.05,1500,4.14,3242,8.95,1500,centered
18,wallie1,367.19,1500,4.09,3319,9.04,1500,centered
19,wallie1,363.5,1500,4.13,3295,9.06,1500,centered
20,wallie1,367.6,1500,4.08,3353,9.12,1500,centered
21,wallie1,357.37,1500,4.2,3231,9.04,1500,centered
22,wallie2,346.86,1500,4.32,3228,9.31,1500,centered
23,wallie2,349.13,1500,4.3,3264,9.35,1500,centered
24,wallie2,352.88,1500,4.25,3278,9.29,1500,centered
25,wallie2,348.87,1500,4.3,3209,9.2,1500,centered
26,wallie2,347.65,1500,4.31,3215,9.25,1500,centered
